gene,wilcox_pval_culture,wilcox_bonferroni_pval_culture,log2FC_culture_microglial_vs_not,fraction_expressed_culture_microglial,fraction_expressed_culture,wilcox_pval_acute,wilcox_bonferroni_pval_acute,log2FC_acute_microglial_vs_not,fraction_expressed_acute_microglial,fraction_expressed_acute,used_for_defining_microglial_signature,commom_acute_and_culture_microglial_gene
SERF2,3.71E-57,1.87E-52,2.555428367,1,0.913,7.34E-24,3.69E-19,2.026782202,1,0.915,FALSE,TRUE
HLA-DMB,3.99E-57,2.01E-52,5.607350918,0.77,0.052,2.62E-16,1.32E-11,2.693394584,0.605,0.154,TRUE,TRUE
MARCKS,4.36E-57,2.19E-52,3.659308396,0.983,0.608,1.13E-18,5.70E-14,2.076985337,0.935,0.713,FALSE,TRUE
TNFAIP2,4.42E-57,2.22E-52,4.79402289,0.91,0.219,1.32E-08,0.000664073,2.706484435,0.452,0.165,TRUE,TRUE
BHLHE41,5.21E-57,2.62E-52,4.364125382,0.972,0.556,6.16E-15,3.10E-10,2.048620127,0.919,0.713,FALSE,TRUE
LIPA,6.09E-57,3.06E-52,5.482441117,0.955,0.469,5.32E-06,0.267719945,0.336767881,0.726,0.495,TRUE,FALSE
NCF2,6.54E-57,3.29E-52,3.825432881,0.899,0.222,1.25E-12,6.27E-08,2.982935448,0.653,0.309,FALSE,TRUE
GDF15,6.60E-57,3.32E-52,4.418877807,0.865,0.142,0.145824139,1,0.467371379,0.024,0.005,TRUE,FALSE
FCGR2A,6.96E-57,3.50E-52,5.455713901,0.989,0.861,9.97E-20,5.01E-15,3.136466642,0.944,0.91,TRUE,TRUE
TNFAIP3,8.18E-57,4.11E-52,7.90924669,0.803,0.108,7.63E-21,3.83E-16,5.205874834,0.661,0.17,TRUE,TRUE
TAGLN2,1.14E-56,5.72E-52,3.450217838,0.91,0.201,5.66E-11,2.85E-06,2.383222458,0.5,0.16,FALSE,TRUE
SAMSN1,1.21E-56,6.10E-52,4.993845119,0.837,0.146,1.91E-19,9.61E-15,3.649194228,0.629,0.149,TRUE,TRUE
TRIM38,1.24E-56,6.25E-52,4.682649833,0.876,0.219,1.90E-05,0.957658544,3.028731957,0.331,0.154,TRUE,FALSE
ODF3B,1.29E-56,6.49E-52,1.167978135,0.764,0.042,9.10E-12,4.58E-07,3.306440743,0.323,0.037,FALSE,TRUE
LINC01272,1.47E-56,7.41E-52,3.37104782,0.854,0.122,1.60E-08,0.000803536,2.786540062,0.315,0.074,FALSE,TRUE
PLTP,1.77E-56,8.91E-52,4.667567815,0.949,0.378,6.70E-09,0.000337104,1.781136086,0.661,0.383,TRUE,TRUE
ARPC3,1.80E-56,9.07E-52,2.547603085,1,0.84,3.02E-16,1.52E-11,1.35774566,0.992,0.867,FALSE,TRUE
TPT1,2.08E-56,1.04E-51,2.424069189,1,0.924,1.15E-25,5.79E-21,2.074997621,0.992,0.979,FALSE,TRUE
LILRA6,2.58E-56,1.29E-51,5.260535154,0.803,0.101,4.99E-05,1,1.938772732,0.169,0.037,TRUE,FALSE
DUSP4,2.76E-56,1.39E-51,4.648561759,0.865,0.16,0.004913775,1,1.428493953,0.492,0.362,FALSE,TRUE
FTH1P7,2.92E-56,1.47E-51,2.81689524,1,0.604,1.51E-19,7.60E-15,1.984491913,0.927,0.612,FALSE,TRUE
CSF2RA,3.06E-56,1.54E-51,5.497659421,0.713,0.024,5.01E-24,2.52E-19,3.10680357,0.685,0.133,TRUE,TRUE
MSN,3.83E-56,1.92E-51,3.183954448,0.989,0.611,6.68E-22,3.36E-17,2.894864639,0.919,0.59,FALSE,TRUE
NKG7,4.85E-56,2.44E-51,6.497578295,0.691,0.014,0.081947435,1,1.14219822,0.016,0,TRUE,FALSE
CASP1,6.77E-56,3.40E-51,5.608577247,0.73,0.038,1.92E-14,9.68E-10,2.277203508,0.476,0.101,TRUE,TRUE
PTAFR,7.34E-56,3.69E-51,5.343550138,0.938,0.476,2.70E-06,0.135689134,3.828715194,0.556,0.42,TRUE,TRUE
TMIGD3,7.58E-56,3.81E-51,4.308669065,0.955,0.413,7.02E-28,3.53E-23,2.952081288,0.96,0.468,FALSE,TRUE
APOBR,9.86E-56,4.96E-51,5.26308237,0.702,0.021,1.00E-05,0.505309937,2.790666079,0.129,0.011,TRUE,FALSE
CD81,1.24E-55,6.22E-51,3.219310061,1,0.868,1.51E-10,7.59E-06,1.55264206,0.927,0.824,FALSE,TRUE
IRF7,2.35E-55,1.18E-50,3.646067652,0.798,0.087,2.94E-08,0.00147949,1.678492859,0.315,0.074,FALSE,TRUE
TMSB4X,3.77E-55,1.90E-50,3.014050529,1,0.993,5.03E-23,2.53E-18,2.095519973,0.992,0.984,FALSE,TRUE
LOC102724297,4.03E-55,2.03E-50,5.184009821,0.82,0.142,5.92E-21,2.98E-16,4.02724481,0.629,0.133,TRUE,TRUE
SERPINA1,6.43E-55,3.23E-50,5.113479649,0.781,0.08,1.70E-33,8.56E-29,3.852123877,0.871,0.181,TRUE,TRUE
SYK,1.11E-54,5.57E-50,2.852453468,0.933,0.34,1.53E-19,7.70E-15,2.768026822,0.702,0.234,FALSE,TRUE
STAB1,1.12E-54,5.63E-50,4.126584744,0.809,0.128,1.30E-15,6.52E-11,4.891970928,0.419,0.059,TRUE,TRUE
EGR2,1.48E-54,7.44E-50,4.607296854,0.921,0.347,2.04E-26,1.02E-21,4.116284642,0.855,0.367,TRUE,TRUE
CD300C,1.73E-54,8.71E-50,5.800541562,0.708,0.035,1.63E-21,8.17E-17,4.302091016,0.427,0.005,TRUE,TRUE
CD40,2.08E-54,1.05E-49,5.473185644,0.803,0.125,1.52E-15,7.65E-11,2.470560971,0.556,0.133,TRUE,TRUE
RPS20,2.27E-54,1.14E-49,2.167357754,1,0.885,2.03E-22,1.02E-17,2.062845889,0.976,0.883,FALSE,TRUE
NAGA,3.02E-54,1.52E-49,3.285905846,0.876,0.212,1.26E-08,0.000635534,2.661059072,0.444,0.165,FALSE,TRUE
FTH1P8,3.06E-54,1.54E-49,2.779030033,0.978,0.597,6.22E-18,3.13E-13,1.806089874,0.895,0.649,FALSE,TRUE
YBX3,3.39E-54,1.70E-49,2.866707063,0.904,0.215,1.23E-21,6.18E-17,1.780656626,0.806,0.303,FALSE,TRUE
SH3BGRL3,4.60E-54,2.31E-49,2.769231728,1,0.833,1.58E-23,7.94E-19,1.888031996,0.976,0.83,FALSE,TRUE
COTL1,9.50E-54,4.78E-49,2.939101565,1,0.764,3.00E-19,1.51E-14,1.906273569,0.984,0.872,FALSE,TRUE
C5AR1,1.09E-53,5.50E-49,3.980664885,0.961,0.441,1.48E-18,7.42E-14,3.610171169,0.71,0.287,TRUE,TRUE
S100A8,1.18E-53,5.92E-49,4.671344276,0.904,0.292,1.43E-05,0.718709854,4.776005901,0.226,0.064,TRUE,FALSE
HNMT,1.24E-53,6.25E-49,3.239413496,0.966,0.372,3.81E-09,0.000191561,2.439780894,0.556,0.245,FALSE,TRUE
TUBA1C,1.61E-53,8.08E-49,2.704982059,0.989,0.778,3.75E-16,1.88E-11,2.535298471,0.911,0.649,FALSE,TRUE
PLAU,1.62E-53,8.13E-49,6.244511798,0.742,0.059,8.97E-14,4.51E-09,4.10428475,0.492,0.128,TRUE,TRUE
LCP2,2.42E-53,1.22E-48,2.184189308,0.927,0.236,8.50E-21,4.27E-16,3.470168826,0.831,0.351,FALSE,TRUE
RPL13A,2.88E-53,1.45E-48,2.021346019,1,0.917,8.17E-21,4.11E-16,2.019045216,0.984,0.941,FALSE,TRUE
GYPC,2.96E-53,1.49E-48,3.313094324,0.91,0.24,1.89E-25,9.52E-21,2.15444358,0.879,0.33,FALSE,TRUE
MYD88,4.47E-53,2.25E-48,3.043146131,0.854,0.125,8.80E-07,0.044222717,2.012556207,0.315,0.096,FALSE,TRUE
GPR84,4.56E-53,2.30E-48,6.428720989,0.708,0.042,3.29E-15,1.66E-10,2.537513357,0.565,0.149,TRUE,TRUE
TMSB10,5.16E-53,2.59E-48,2.36615027,1,0.823,1.83E-20,9.21E-16,1.96226855,0.992,0.926,FALSE,TRUE
IL18,5.64E-53,2.84E-48,4.421631304,0.91,0.278,7.26E-21,3.65E-16,3.75810329,0.75,0.287,TRUE,TRUE
CLEC5A,6.32E-53,3.18E-48,7.629657835,0.68,0.028,2.60E-06,0.130919302,2.869996622,0.194,0.032,TRUE,FALSE
PLP2,7.13E-53,3.59E-48,2.951720133,0.82,0.108,3.71E-09,0.0001864,2.293889444,0.306,0.064,FALSE,TRUE
LILRA2,7.55E-53,3.80E-48,5.539263414,0.753,0.087,3.63E-12,1.82E-07,3.854629953,0.331,0.043,TRUE,TRUE
EZR,1.06E-52,5.35E-48,2.002563536,0.916,0.292,1.34E-19,6.72E-15,1.954691869,0.774,0.314,FALSE,TRUE
TMSB4XP1,1.09E-52,5.47E-48,2.818951868,0.989,0.67,2.59E-15,1.30E-10,1.962266017,0.927,0.835,FALSE,TRUE
RPS27,1.18E-52,5.96E-48,2.028607518,1,0.934,7.51E-20,3.77E-15,1.739971449,0.992,0.947,FALSE,TRUE
LPAR6,1.19E-52,6.00E-48,7.388352231,0.742,0.083,1.44E-07,0.007216566,3.113421854,0.387,0.149,TRUE,TRUE
DAB2,1.47E-52,7.41E-48,3.377988585,0.949,0.372,3.68E-19,1.85E-14,3.55840709,0.653,0.176,FALSE,TRUE
EVI2A,1.80E-52,9.04E-48,4.38247921,0.86,0.233,1.25E-05,0.627339717,2.627113009,0.516,0.34,TRUE,TRUE
NOP10,2.29E-52,1.15E-47,2.348918854,1,0.611,1.59E-13,8.00E-09,1.545287467,0.847,0.543,FALSE,TRUE
ITGA5,2.44E-52,1.23E-47,4.472142962,0.803,0.115,8.29E-19,4.17E-14,5.607031773,0.411,0.021,TRUE,TRUE
B4GALT1,4.23E-52,2.13E-47,4.650055659,0.904,0.375,1.62E-17,8.13E-13,3.33705572,0.766,0.367,TRUE,FALSE
CYP1B1,5.02E-52,2.53E-47,8.235542354,0.697,0.045,0.096746541,1,-0.154639077,0.048,0.016,TRUE,FALSE
RAB20,6.90E-52,3.47E-47,3.825050719,0.865,0.25,2.42E-18,1.21E-13,3.784800347,0.573,0.138,FALSE,TRUE
SASH3,8.17E-52,4.11E-47,5.895124363,0.725,0.069,7.38E-08,0.003712192,3.504325751,0.29,0.069,TRUE,TRUE
C15orf48,8.35E-52,4.20E-47,4.722474693,0.803,0.128,6.68E-11,3.36E-06,1.786460687,0.46,0.128,TRUE,TRUE
METTL7A,8.83E-52,4.44E-47,3.518051626,0.888,0.229,8.23E-10,4.14E-05,1.199518111,0.589,0.293,FALSE,TRUE
NRP1,9.01E-52,4.53E-47,4.194677836,0.978,0.618,0.000172361,1,2.005322962,0.573,0.452,TRUE,FALSE
HCST,9.37E-52,4.71E-47,3.845821374,0.73,0.049,2.04E-22,1.02E-17,2.628958791,0.847,0.335,FALSE,TRUE
GPX1P1,1.37E-51,6.86E-47,3.11222776,0.949,0.365,3.42E-16,1.72E-11,2.262644798,0.871,0.537,FALSE,TRUE
TGIF1,1.37E-51,6.89E-47,3.899846303,0.899,0.34,2.89E-17,1.45E-12,2.071533539,0.677,0.255,FALSE,TRUE
TMSB4XP8,1.40E-51,7.03E-47,2.875819593,0.994,0.872,1.15E-22,5.80E-18,2.518197138,0.992,0.926,FALSE,TRUE
TIMP1,1.49E-51,7.47E-47,3.224559247,1,0.58,0.000759778,1,1.170398031,0.331,0.165,FALSE,TRUE
RPS12,1.67E-51,8.40E-47,2.061695448,1,0.833,2.29E-19,1.15E-14,1.950452709,0.984,0.894,FALSE,TRUE
C1orf162,1.74E-51,8.76E-47,3.577830492,0.961,0.389,7.26E-08,0.003649161,2.537272574,0.637,0.367,FALSE,TRUE
MFNG,1.93E-51,9.71E-47,4.380788328,0.798,0.146,1.40E-10,7.05E-06,1.980410133,0.444,0.128,TRUE,FALSE
AAED1,1.97E-51,9.91E-47,1.712689633,0.893,0.253,2.77E-19,1.39E-14,1.350699528,0.75,0.303,FALSE,TRUE
PABPC1,2.04E-51,1.02E-46,2.433350633,1,0.858,2.44E-22,1.23E-17,2.345460523,0.984,0.957,FALSE,TRUE
GSDMD,2.13E-51,1.07E-46,4.355645051,0.742,0.076,6.61E-11,3.32E-06,4.093046707,0.323,0.053,TRUE,TRUE
NUDT14,2.37E-51,1.19E-46,1.963168468,0.899,0.188,6.69E-09,0.000336606,1.614539528,0.677,0.41,FALSE,TRUE
CCL20,2.78E-51,1.40E-46,8.253702706,0.747,0.087,9.82E-12,4.94E-07,3.955707064,0.556,0.191,TRUE,TRUE
SLC37A2,2.99E-51,1.51E-46,4.216078336,0.831,0.201,1.10E-07,0.005536092,2.576756649,0.395,0.144,TRUE,TRUE
SLC39A1,3.39E-51,1.71E-46,3.04841645,0.938,0.312,5.67E-08,0.002849323,1.533780826,0.597,0.324,FALSE,TRUE
RPLP1,3.91E-51,1.96E-46,1.952792609,1,0.948,6.41E-21,3.22E-16,1.897031492,0.984,0.952,FALSE,TRUE
OLFML2B,3.92E-51,1.97E-46,5.512892975,0.798,0.149,2.06E-05,1,1.897074598,0.274,0.096,TRUE,FALSE
SLA,6.39E-51,3.22E-46,4.367474382,0.865,0.201,4.16E-13,2.09E-08,3.049935348,0.444,0.09,TRUE,TRUE
RAB31,7.87E-51,3.96E-46,2.749550089,0.994,0.792,8.02E-20,4.03E-15,1.481704866,0.968,0.75,FALSE,TRUE
HLA-DQB1,8.74E-51,4.40E-46,7.822537053,0.652,0.021,5.29E-22,2.66E-17,3.127463563,0.734,0.191,TRUE,TRUE
ACSL1,9.42E-51,4.74E-46,4.248768781,0.994,0.747,0.00037116,1,0.945596776,0.839,0.707,TRUE,FALSE
SLCO2B1,9.64E-51,4.85E-46,4.589175168,0.888,0.326,2.36E-17,1.19E-12,1.772762884,0.726,0.282,TRUE,FALSE
SLC7A7,1.42E-50,7.12E-46,3.824102737,0.955,0.538,1.22E-08,0.000611898,2.739363248,0.637,0.426,FALSE,TRUE
TLR2,1.68E-50,8.47E-46,5.599773195,0.798,0.167,1.57E-18,7.91E-14,4.130463792,0.637,0.181,TRUE,TRUE
LGMN,1.71E-50,8.60E-46,4.220497444,1,0.931,0.003444616,1,0.248186311,0.935,0.867,TRUE,FALSE
MAN2B1,1.77E-50,8.92E-46,3.229807885,0.966,0.608,9.88E-11,4.97E-06,0.739377718,0.806,0.543,FALSE,TRUE
IL1A,2.02E-50,1.02E-45,7.036580234,0.68,0.042,8.40E-20,4.22E-15,2.238771826,0.823,0.335,TRUE,FALSE
F11R,2.16E-50,1.09E-45,4.213041686,0.809,0.153,0.008075054,1,1.295106005,0.202,0.101,TRUE,FALSE
CTDSP1,2.82E-50,1.42E-45,1.08833037,0.77,0.076,2.73E-11,1.37E-06,2.276259832,0.419,0.106,FALSE,TRUE
GSN,2.92E-50,1.47E-45,3.403675362,0.966,0.576,3.56E-24,1.79E-19,1.955199156,0.944,0.596,FALSE,TRUE
RILPL2,2.99E-50,1.50E-45,3.57110307,0.938,0.458,4.60E-26,2.31E-21,3.128688828,0.911,0.511,FALSE,TRUE
PARVG,3.61E-50,1.82E-45,3.299966244,0.944,0.375,1.54E-15,7.73E-11,2.914553038,0.71,0.324,FALSE,TRUE
SDC2,4.56E-50,2.29E-45,4.099636556,0.983,0.781,0.009039059,1,0.15389316,0.75,0.606,TRUE,FALSE
RGS19,4.66E-50,2.34E-45,3.193860663,0.775,0.09,4.17E-15,2.10E-10,2.106434024,0.669,0.25,FALSE,TRUE
SIGLEC9,4.99E-50,2.51E-45,4.250812809,0.798,0.163,3.34E-11,1.68E-06,3.057542985,0.403,0.09,TRUE,TRUE
ACTB,7.14E-50,3.59E-45,2.437054755,1,0.99,1.23E-21,6.20E-17,1.939593399,0.992,0.984,FALSE,TRUE
AKR1A1,1.23E-49,6.19E-45,2.525557674,1,0.622,2.64E-16,1.33E-11,1.734272952,0.919,0.553,FALSE,TRUE
IL1B,1.35E-49,6.81E-45,7.545457589,0.764,0.122,3.04E-21,1.53E-16,2.267532101,0.911,0.489,TRUE,TRUE
RBM47,2.16E-49,1.09E-44,4.055826442,0.989,0.917,4.15E-11,2.09E-06,3.626900431,0.919,0.835,FALSE,TRUE
PTGER4,2.25E-49,1.13E-44,5.12669239,0.854,0.271,1.25E-12,6.27E-08,3.888831411,0.661,0.324,TRUE,TRUE
PLAUR,2.43E-49,1.22E-44,4.067759115,0.983,0.705,4.22E-18,2.12E-13,3.732769436,0.903,0.617,TRUE,TRUE
LINC00346,2.69E-49,1.35E-44,6.558487998,0.657,0.031,6.72E-11,3.38E-06,2.592344815,0.395,0.09,TRUE,TRUE
RPLP0,3.11E-49,1.56E-44,2.042726898,1,0.865,5.75E-15,2.89E-10,1.6903671,0.96,0.883,FALSE,TRUE
CPVL,3.84E-49,1.93E-44,3.350419412,0.944,0.51,7.38E-09,0.000371249,1.604309896,0.605,0.324,FALSE,TRUE
PDK4,4.07E-49,2.05E-44,5.241913273,0.736,0.087,4.60E-14,2.31E-09,7.651401034,0.435,0.085,TRUE,TRUE
OSCAR,7.51E-49,3.78E-44,4.100897748,0.809,0.184,1.79E-13,8.98E-09,3.969294917,0.435,0.096,TRUE,TRUE
P2RY12,1.04E-48,5.21E-44,5.642979068,0.674,0.045,7.70E-19,3.87E-14,1.776579268,0.847,0.404,TRUE,TRUE
PLIN3,1.13E-48,5.68E-44,2.600810454,0.944,0.503,2.39E-10,1.20E-05,1.799323032,0.677,0.441,FALSE,TRUE
RPS2,1.24E-48,6.25E-44,1.781920876,1,0.913,7.92E-24,3.98E-19,2.448117246,0.992,0.952,FALSE,TRUE
DUSP6,1.35E-48,6.77E-44,4.066190728,0.815,0.149,3.19E-13,1.61E-08,3.282787414,0.694,0.324,TRUE,TRUE
RPS6,1.74E-48,8.76E-44,2.075686334,1,0.903,3.02E-21,1.52E-16,2.160750781,0.976,0.941,FALSE,TRUE
CMKLR1,1.76E-48,8.85E-44,5.473695969,0.77,0.146,3.77E-06,0.189745697,4.074116093,0.347,0.144,TRUE,FALSE
DBI,2.23E-48,1.12E-43,1.880824138,1,0.604,4.04E-21,2.03E-16,2.616216298,0.984,0.771,FALSE,TRUE
CD33,2.25E-48,1.13E-43,4.734801613,0.713,0.08,1.48E-10,7.46E-06,1.461492775,0.355,0.069,TRUE,TRUE
ALDH3B1,2.71E-48,1.36E-43,4.027930885,0.792,0.153,2.42E-05,1,1.543077257,0.226,0.064,TRUE,FALSE
CEBPD,2.97E-48,1.49E-43,3.044926554,0.871,0.17,5.02E-19,2.52E-14,3.206986276,0.782,0.309,FALSE,TRUE
CSF1R,3.14E-48,1.58E-43,5.113871722,0.899,0.424,1.07E-27,5.37E-23,3.073205661,0.919,0.516,TRUE,TRUE
CAT,3.37E-48,1.69E-43,3.277255369,0.876,0.309,1.06E-10,5.33E-06,2.692134424,0.476,0.16,FALSE,TRUE
HLA-A,4.69E-48,2.36E-43,2.514876922,0.994,0.948,2.52E-12,1.27E-07,1.81331541,0.952,0.809,FALSE,TRUE
WDR1,7.77E-48,3.90E-43,2.273810269,0.994,0.656,9.23E-14,4.64E-09,1.980142728,0.879,0.628,FALSE,TRUE
HLA-C,7.89E-48,3.97E-43,2.304950021,1,0.885,4.41E-20,2.22E-15,2.443062045,0.935,0.691,FALSE,TRUE
LILRB2,1.04E-47,5.24E-43,5.594232549,0.68,0.056,2.35E-05,1,2.17022582,0.145,0.021,TRUE,FALSE
CPM,1.42E-47,7.14E-43,4.141445121,0.927,0.517,9.05E-07,0.045514002,2.237764479,0.597,0.383,TRUE,TRUE
BTG1,1.58E-47,7.95E-43,3.720670229,0.983,0.642,3.99E-12,2.00E-07,2.339847495,0.927,0.793,FALSE,TRUE
FAM20A,1.75E-47,8.80E-43,3.978824619,0.882,0.267,0.013376978,1,0.780823015,0.452,0.314,TRUE,FALSE
ITPRIP,2.61E-47,1.31E-42,5.632679174,0.725,0.111,1.46E-16,7.33E-12,3.549950113,0.516,0.106,TRUE,TRUE
ANXA1,2.69E-47,1.35E-42,4.20747387,0.758,0.104,0.017114677,1,3.13820365,0.121,0.048,TRUE,FALSE
AGPAT2,3.69E-47,1.85E-42,2.324893062,0.876,0.229,1.21E-06,0.060699003,1.382056852,0.452,0.191,FALSE,TRUE
HTRA1,4.07E-47,2.05E-42,3.032536558,0.983,0.74,2.07E-07,0.010384704,1.02349832,0.968,0.883,FALSE,TRUE
RPL18A,4.69E-47,2.36E-42,1.957304144,1,0.837,6.11E-21,3.07E-16,2.047969327,0.992,0.894,FALSE,TRUE
CD58,5.02E-47,2.52E-42,3.570079257,0.826,0.236,3.35E-15,1.68E-10,3.526412939,0.589,0.191,FALSE,TRUE
LILRB5,5.83E-47,2.93E-42,6.179619603,0.652,0.042,0.000955141,1,0.565868906,0.073,0.005,TRUE,FALSE
IL10RA,5.84E-47,2.94E-42,3.519973897,0.758,0.118,1.13E-15,5.66E-11,3.219150022,0.629,0.197,FALSE,TRUE
TWF2,6.21E-47,3.12E-42,2.692582863,0.944,0.326,1.10E-07,0.005517897,1.906696917,0.694,0.41,FALSE,TRUE
TMEM119,6.82E-47,3.43E-42,4.691411433,0.652,0.042,1.96E-20,9.85E-16,2.299647608,0.702,0.202,TRUE,TRUE
MAFF,7.78E-47,3.91E-42,2.145695304,0.966,0.434,1.41E-12,7.07E-08,1.897604436,0.831,0.532,FALSE,TRUE
CMTM7,8.34E-47,4.19E-42,3.561273669,0.899,0.365,1.93E-18,9.70E-14,1.450798212,0.798,0.346,FALSE,TRUE
CASP4,8.51E-47,4.28E-42,3.07903468,0.798,0.132,7.36E-11,3.70E-06,3.225496386,0.347,0.059,FALSE,TRUE
RPS3,1.20E-46,6.02E-42,1.945267764,1,0.896,9.14E-22,4.60E-17,1.889819249,0.992,0.915,FALSE,TRUE
NFKB2,1.77E-46,8.91E-42,2.590312862,0.775,0.111,2.45E-19,1.23E-14,3.581154059,0.581,0.112,FALSE,TRUE
TLR1,1.88E-46,9.44E-42,4.026292471,0.798,0.163,2.02E-14,1.02E-09,3.280495825,0.379,0.043,TRUE,TRUE
FOLR2,1.94E-46,9.76E-42,5.558942468,0.618,0.024,1.00E-24,5.05E-20,2.699546447,0.734,0.17,TRUE,TRUE
CORO1A,2.43E-46,1.22E-41,3.214910549,0.91,0.295,3.99E-13,2.01E-08,2.266687672,0.806,0.484,FALSE,TRUE
ZNF267,2.58E-46,1.30E-41,2.901936637,0.916,0.392,8.48E-16,4.27E-11,3.683956658,0.734,0.378,FALSE,TRUE
CNPY3,6.52E-46,3.28E-41,2.162774146,0.966,0.448,2.45E-13,1.23E-08,1.39944509,0.911,0.66,FALSE,TRUE
RAC2,1.53E-45,7.72E-41,3.352922931,0.753,0.122,7.13E-18,3.59E-13,3.861707069,0.5,0.08,FALSE,TRUE
PMAIP1,1.80E-45,9.03E-41,6.433061105,0.607,0.024,1.83E-15,9.23E-11,1.135175549,0.516,0.101,TRUE,FALSE
TRIP10,2.04E-45,1.03E-40,3.633912628,0.798,0.177,3.63E-09,0.000182427,3.286453406,0.435,0.154,FALSE,TRUE
LPCAT2,2.20E-45,1.11E-40,2.993874305,0.904,0.344,2.66E-11,1.34E-06,1.688492155,0.742,0.378,FALSE,TRUE
MMD,3.02E-45,1.52E-40,2.85728822,0.949,0.431,1.15E-13,5.76E-09,1.656124753,0.839,0.489,FALSE,TRUE
FPR3,3.21E-45,1.62E-40,6.629952697,0.68,0.083,0.013115007,1,1.797796647,0.137,0.059,TRUE,FALSE
SWAP70,6.11E-45,3.07E-40,1.736538444,0.961,0.538,3.70E-13,1.86E-08,1.078325291,0.823,0.612,FALSE,TRUE
RPS6KA1,6.27E-45,3.15E-40,2.434666451,0.921,0.444,5.98E-07,0.030080079,2.103430436,0.677,0.495,FALSE,TRUE
NABP1,1.09E-44,5.47E-40,2.876129159,0.837,0.191,9.29E-16,4.67E-11,2.251782889,0.589,0.16,FALSE,TRUE
CYP19A1,1.38E-44,6.92E-40,4.597804596,0.713,0.104,6.66E-07,0.033476191,3.490654113,0.169,0.016,TRUE,FALSE
IL4I1,1.56E-44,7.87E-40,5.654457935,0.77,0.198,7.56E-15,3.80E-10,2.998298058,0.573,0.197,TRUE,TRUE
LOC100420851,1.62E-44,8.17E-40,5.151746237,0.899,0.319,1.65E-26,8.30E-22,3.132286464,0.984,0.75,TRUE,TRUE
RNF135,1.81E-44,9.08E-40,2.543037116,0.938,0.545,3.53E-12,1.77E-07,3.566639528,0.637,0.319,FALSE,TRUE
ZC3H12A,1.92E-44,9.63E-40,3.797661503,0.753,0.122,8.85E-15,4.45E-10,2.857915208,0.54,0.133,FALSE,TRUE
RNASET2,2.25E-44,1.13E-39,2.745910931,0.983,0.701,4.45E-25,2.24E-20,2.306757718,0.968,0.862,FALSE,TRUE
SLC2A5,2.61E-44,1.31E-39,4.769243953,0.916,0.608,2.68E-21,1.35E-16,2.397791671,0.887,0.537,TRUE,TRUE
CARD16,3.14E-44,1.58E-39,4.399691938,0.573,0.01,2.04E-08,0.001027141,1.250060782,0.347,0.09,TRUE,TRUE
IFITM3,3.41E-44,1.72E-39,2.042800549,0.938,0.326,1.36E-10,6.83E-06,2.446939955,0.685,0.33,FALSE,TRUE
POLD4,3.49E-44,1.75E-39,1.915334641,0.978,0.431,4.69E-14,2.36E-09,1.621598697,0.766,0.33,FALSE,TRUE
SPHK1,3.56E-44,1.79E-39,2.669950994,0.972,0.51,6.02E-13,3.03E-08,2.990178711,0.702,0.378,FALSE,TRUE
LPL,3.70E-44,1.86E-39,7.114890219,0.702,0.118,4.42E-11,2.22E-06,5.643980782,0.444,0.144,TRUE,TRUE
IFNGR2,5.95E-44,2.99E-39,2.853493977,0.966,0.653,1.35E-14,6.81E-10,2.137057098,0.927,0.798,FALSE,TRUE
IL13RA1,6.16E-44,3.10E-39,2.871798034,0.916,0.42,2.66E-21,1.34E-16,2.433759442,0.871,0.394,FALSE,TRUE
RAB34,6.79E-44,3.41E-39,2.818002358,0.798,0.149,3.16E-07,0.015887159,1.024649686,0.387,0.144,FALSE,TRUE
HAMP,7.69E-44,3.87E-39,4.751105597,0.713,0.104,2.49E-14,1.25E-09,1.878631883,0.758,0.309,TRUE,FALSE
FUOM,8.71E-44,4.38E-39,2.246030675,0.815,0.17,9.05E-07,0.045515429,1.539931098,0.427,0.181,FALSE,TRUE
RAB8A,1.18E-43,5.94E-39,2.35270921,0.949,0.5,4.84E-08,0.002433638,1.536846866,0.742,0.532,FALSE,TRUE
PTGER2,1.51E-43,7.58E-39,6.793008352,0.612,0.042,2.73E-05,1,0.389632886,0.21,0.053,TRUE,FALSE
MYO1F,5.11E-43,2.57E-38,3.752693231,0.933,0.608,1.35E-05,0.680329636,2.548102294,0.677,0.559,FALSE,TRUE
GNA13,5.67E-43,2.85E-38,2.877558166,0.972,0.708,5.03E-10,2.53E-05,2.462007205,0.863,0.723,FALSE,TRUE
L3MBTL4-AS1,1.01E-42,5.09E-38,3.632456031,0.68,0.073,4.77E-07,0.023995792,2.035768989,0.371,0.128,FALSE,TRUE
ORAI3,1.31E-42,6.60E-38,3.424895998,0.719,0.097,0.001470127,1,1.303026709,0.355,0.186,FALSE,TRUE
ARHGAP30,1.60E-42,8.05E-38,3.246637104,0.854,0.365,1.56E-12,7.84E-08,2.172203444,0.597,0.245,FALSE,TRUE
FGR,2.48E-42,1.25E-37,3.10269096,0.798,0.24,4.95E-08,0.00249092,2.42422252,0.452,0.202,FALSE,TRUE
RASGEF1B,4.08E-42,2.05E-37,3.360832911,0.899,0.413,1.60E-09,8.04E-05,1.997746651,0.645,0.351,FALSE,TRUE
MFSD1,5.40E-42,2.72E-37,2.714255872,0.966,0.625,2.92E-07,0.014659093,1.125258167,0.75,0.468,FALSE,TRUE
